LineId,Label,Timestamp,Date,User,Month,Day,Time,Location,Component,PID,Content,EventId,EventTemplate
26,-,1131566461,2005.11.09,dn978,Nov,9,12:01:01,dn978/dn978,crond(pam_unix),2920.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
27,-,1131566461,2005.11.09,dn978,Nov,9,12:01:01,dn978/dn978,crond,2921.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
28,-,1131566461,2005.11.09,eadmin1,Nov,9,12:01:01,src@eadmin1,crond(pam_unix),4307.0,session closed for user root,E117,session closed for user root
29,-,1131566461,2005.11.09,eadmin1,Nov,9,12:01:01,src@eadmin1,crond(pam_unix),4307.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
30,-,1131566461,2005.11.09,eadmin1,Nov,9,12:01:01,src@eadmin1,crond,4308.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
31,-,1131566461,2005.11.09,eadmin2,Nov,9,12:01:01,src@eadmin2,crond(pam_unix),12636.0,session closed for user root,E117,session closed for user root
32,-,1131566461,2005.11.09,eadmin2,Nov,9,12:01:01,src@eadmin2,crond(pam_unix),12636.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
33,-,1131566461,2005.11.09,eadmin2,Nov,9,12:01:01,src@eadmin2,crond,12637.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
34,-,1131566461,2005.11.09,en257,Nov,9,12:01:01,en257/en257,crond(pam_unix),8950.0,session closed for user root,E117,session closed for user root
35,-,1131566461,2005.11.09,en257,Nov,9,12:01:01,en257/en257,crond(pam_unix),8950.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
36,-,1131566461,2005.11.09,en257,Nov,9,12:01:01,en257/en257,crond,8951.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
37,-,1131566461,2005.11.09,en74,Nov,9,12:01:01,en74/en74,crond(pam_unix),3080.0,session closed for user root,E117,session closed for user root
38,-,1131566461,2005.11.09,en74,Nov,9,12:01:01,en74/en74,crond(pam_unix),3080.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
39,-,1131566461,2005.11.09,en74,Nov,9,12:01:01,en74/en74,crond,3081.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
40,-,1131566461,2005.11.09,tbird-admin1,Nov,9,12:01:01,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
41,-,1131566461,2005.11.09,tbird-admin1,Nov,9,12:01:01,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
42,-,1131566461,2005.11.09,tbird-admin1,Nov,9,12:01:01,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
43,-,1131566462,2005.11.09,#8#,Nov,9,12:01:02,#8#/#8#,crond(pam_unix),23469.0,session closed for user root,E117,session closed for user root
44,-,1131566462,2005.11.09,#8#,Nov,9,12:01:02,#8#/#8#,crond(pam_unix),23469.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
45,-,1131566462,2005.11.09,#8#,Nov,9,12:01:02,#8#/#8#,crond,23474.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
46,-,1131566463,2005.11.09,cn142,Nov,9,12:01:03,cn142/cn142,ntpd,7467.0,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
47,-,1131566463,2005.11.09,dn1021,Nov,9,12:01:03,dn1021/dn1021,ntpd,32563.0,"synchronized to 10.100.28.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
48,-,1131566463,2005.11.09,dn736,Nov,9,12:01:03,dn736/dn736,ntpd,1119.0,"synchronized to 10.100.24.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
49,-,1131566463,2005.11.09,tbird-admin1,Nov,9,12:01:03,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B7] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
50,-,1131566467,2005.11.09,cn46,Nov,9,12:01:07,cn46/cn46,ntpd,15291.0,"synchronized to 10.100.16.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
51,-,1131566467,2005.11.09,tbird-admin1,Nov,9,12:01:07,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
52,-,1131566467,2005.11.09,tbird-admin1,Nov,9,12:01:07,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
53,-,1131566468,2005.11.09,tbird-admin1,Nov,9,12:01:08,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
54,-,1131566470,2005.11.09,bn441,Nov,9,12:01:10,bn441/bn441,ntpd,28489.0,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
55,-,1131566470,2005.11.09,cn661,Nov,9,12:01:10,cn661/cn661,ntpd,18505.0,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
56,-,1131566470,2005.11.09,tbird-sm1,Nov,9,12:01:10,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
57,-,1131566471,2005.11.09,dn393,Nov,9,12:01:11,dn393/dn393,ntpd,4696.0,"synchronized to 10.100.26.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
58,-,1131566472,2005.11.09,tbird-admin1,Nov,9,12:01:12,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B3] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
59,-,1131566473,2005.11.09,cn379,Nov,9,12:01:13,cn379/cn379,ntpd,10573.0,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
60,-,1131566473,2005.11.09,cn733,Nov,9,12:01:13,cn733/cn733,ntpd,27716.0,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
61,-,1131566473,2005.11.09,tbird-admin1,Nov,9,12:01:13,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_D5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
62,-,1131566474,2005.11.09,cn925,Nov,9,12:01:14,cn925/cn925,ntpd,29072.0,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
63,-,1131566474,2005.11.09,tbird-sm1,Nov,9,12:01:14,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1455]: No topology change,E6,[ib_sm_sweep.c:1455]: No topology change
64,-,1131566474,2005.11.09,tbird-sm1,Nov,9,12:01:14,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1482]: No configuration change required,E7,[ib_sm_sweep.c:1482]: No configuration change required
65,-,1131566475,2005.11.09,tbird-admin1,Nov,9,12:01:15,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A1] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
66,-,1131566475,2005.11.09,tbird-admin1,Nov,9,12:01:15,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C2] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
67,-,1131566476,2005.11.09,tbird-admin1,Nov,9,12:01:16,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B1] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
68,-,1131566477,2005.11.09,cn543,Nov,9,12:01:17,cn543/cn543,ntpd,13785.0,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
69,-,1131566477,2005.11.09,tbird-admin1,Nov,9,12:01:17,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A3] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
70,-,1131566477,2005.11.09,tbird-admin1,Nov,9,12:01:17,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
71,-,1131566478,2005.11.09,cn551,Nov,9,12:01:18,cn551/cn551,ntpd,15308.0,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
72,-,1131566478,2005.11.09,dn360,Nov,9,12:01:18,dn360/dn360,ntpd,30984.0,"synchronized to 10.100.28.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
73,-,1131566478,2005.11.09,tbird-admin1,Nov,9,12:01:18,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A6] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
74,-,1131566479,2005.11.09,#8#,Nov,9,12:01:19,#8#/#8#,sshd,19023.0,Local disconnected: Connection closed.,E67,Local disconnected: Connection closed.
75,-,1131566479,2005.11.09,#8#,Nov,9,12:01:19,#8#/#8#,sshd,19023.0,connection lost: 'Connection closed.',E30,connection lost: 'Connection closed.'
76,-,1131566479,2005.11.09,bn431,Nov,9,12:01:19,bn431/bn431,ntpd,28723.0,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
77,-,1131566480,2005.11.09,dn77,Nov,9,12:01:20,dn77/dn77,ntpd,9978.0,"synchronized to 10.100.24.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
78,-,1131566480,2005.11.09,tbird-admin1,Nov,9,12:01:20,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B6] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
79,-,1131566482,2005.11.09,tbird-admin1,Nov,9,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B2] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
80,-,1131566482,2005.11.09,tbird-admin1,Nov,9,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C1] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
81,-,1131566482,2005.11.09,tbird-admin1,Nov,9,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
82,-,1131566482,2005.11.09,tbird-admin1,Nov,9,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_D7] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
83,-,1131566483,2005.11.09,tbird-admin1,Nov,9,12:01:23,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A7] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
84,-,1131566484,2005.11.09,cn931,Nov,9,12:01:24,cn931/cn931,ntpd,29054.0,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
85,-,1131566484,2005.11.09,tbird-sm1,Nov,9,12:01:24,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
86,-,1131566485,2005.11.09,tbird-admin1,Nov,9,12:01:25,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_D6] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
87,-,1131566486,2005.11.09,tbird-admin1,Nov,9,12:01:26,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
88,-,1131566486,2005.11.09,tbird-admin1,Nov,9,12:01:26,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
89,-,1131566486,2005.11.09,tbird-admin1,Nov,9,12:01:26,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_D4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
90,-,1131566487,2005.11.09,tbird-admin1,Nov,9,12:01:27,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C6] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
91,-,1131566488,2005.11.09,dn557,Nov,9,12:01:28,dn557/dn557,ntpd,31472.0,"synchronized to 10.100.26.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
92,-,1131566488,2005.11.09,dn943,Nov,9,12:01:28,dn943/dn943,ntpd,3570.0,"synchronized to 10.100.26.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
93,-,1131566488,2005.11.09,tbird-admin1,Nov,9,12:01:28,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_D8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
94,-,1131566488,2005.11.09,tbird-sm1,Nov,9,12:01:28,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1455]: No topology change,E6,[ib_sm_sweep.c:1455]: No topology change
95,-,1131566488,2005.11.09,tbird-sm1,Nov,9,12:01:28,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1482]: No configuration change required,E7,[ib_sm_sweep.c:1482]: No configuration change required
96,-,1131566490,2005.11.09,eadmin1,Nov,9,12:01:30,src@eadmin1,sendmail,4306.0,unable to qualify my own domain name (eadmin1) -- using short name,E131,unable to qualify my own domain name (<*>) -- using short name
97,-,1131566491,2005.11.09,eadmin1,Nov,9,12:01:31,src@eadmin1,crond(pam_unix),1205.0,session closed for user root,E117,session closed for user root
98,-,1131566491,2005.11.09,eadmin1,Nov,9,12:01:31,src@eadmin1,sendmail,4306.0,"jA9J1UvC004306: from=root, size=629060, class=0, nrcpts=1, msgid=<200511091901.jA9J1UvC004306@eadmin1>, relay=#7#@localhost",E15,"<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
99,-,1131566491,2005.11.09,eadmin1,Nov,9,12:01:31,src@eadmin1,sendmail,4306.0,"jA9J1UvC004306: to=root, ctladdr=root (0/0), delay=00:00:01, xdelay=00:00:00, mailer=relay, pri=659060, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",E16,"<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
100,-,1131566491,2005.11.09,tbird-admin1,Nov,9,12:01:31,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A2] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
