LineId,Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate
28,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.421,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,E34,image <*> at (<*>): checking
29,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.424,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",E35,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage"
30,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.470,2931,INFO,nova.compute.manager,req-8e64797b-fb99-4c8a-87e5-9a8de673412f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 19.84 seconds to build instance.,E12,[instance: <*>] Took <*>.<*> seconds to build instance.
31,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.600,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,E27,Active base files: <*>
32,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:10.978,25746,INFO,nova.osapi_compute.wsgi.server,req-d81279b2-d9df-48b7-9c36-edab3801c067 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2808621",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
33,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:11.243,25746,INFO,nova.osapi_compute.wsgi.server,req-22455aab-13cf-4045-92e8-65371ef51485 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2603891",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
34,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:13.658,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,E28,Auditing locally available compute resources for node <*>
35,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:14.265,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"Total usable vcpus: 16, total allocated vcpus: 1",E41,"Total usable vcpus: <*>, total allocated vcpus: <*>"
36,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:14.266,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB used_ram=2560MB phys_disk=15GB used_disk=20GB total_vcpus=16 used_vcpus=1 pci_stats=[],E32,Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=[]
37,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:14.329,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,E30,Compute_service record updated for <*>
38,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:15.141,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,E34,image <*> at (<*>): checking
39,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:15.142,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",E35,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage"
40,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:15.318,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,E27,Active base files: <*>
41,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:16.795,25783,INFO,nova.metadata.wsgi.server,req-b40b44ea-c721-4bc4-b1cd-bb238982ede4 - - - - -,"10.11.21.122,10.11.10.1 ""GET /openstack/2012-08-10/meta_data.json HTTP/1.1"" status: 200 len: 264 time: 0.2451560",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
42,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:16.806,25783,INFO,nova.metadata.wsgi.server,-,"10.11.21.122,10.11.10.1 ""GET /openstack/2013-10-17 HTTP/1.1"" status: 200 len: 157 time: 0.0008290",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
43,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.120,25786,INFO,nova.metadata.wsgi.server,req-f9565d6d-171c-408f-8b5f-9e9792826f42 - - - - -,"10.11.21.122,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200 len: 124 time: 0.2197890",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
44,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.441,25793,INFO,nova.metadata.wsgi.server,req-ed0b5830-26a8-4484-8164-feaebe737259 - - - - -,"10.11.21.122,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200 len: 124 time: 0.2368760",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
45,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.504,25746,INFO,nova.osapi_compute.wsgi.server,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/b9000564-fe1a-409b-b8cc-1e88b294cd1d HTTP/1.1"" status: 204 len: 203 time: 0.2534380",E24,"<*> ""DELETE <*>"" status: <*> len: <*> time: <*>.<*>"
46,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.531,25793,INFO,nova.metadata.wsgi.server,-,"10.11.21.122,10.11.10.1 ""GET /openstack/2013-10-17/user_data HTTP/1.1"" status: 404 len: 176 time: 0.0010660",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
47,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:17.541,2931,INFO,nova.compute.manager,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Terminating instance,E11,[instance: <*>] Terminating instance
48,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:17.754,2931,INFO,nova.virt.libvirt.driver,-,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Instance destroyed successfully.,E8,[instance: <*>] Instance destroyed successfully.
49,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.773,25746,INFO,nova.osapi_compute.wsgi.server,req-430aaf51-6fd5-4ede-bab8-7ca540ec136c 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1916 time: 0.2658210",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
50,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.861,25784,INFO,nova.metadata.wsgi.server,req-567bc482-6358-4db5-99c5-b011692d6cf8 - - - - -,"10.11.21.122,10.11.10.1 ""GET /openstack/2013-10-17/meta_data.json HTTP/1.1"" status: 200 len: 967 time: 0.2349129",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
51,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:18.450,2931,INFO,nova.virt.libvirt.driver,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Deleting instance files /var/lib/nova/instances/b9000564-fe1a-409b-b8cc-1e88b294cd1d_del,E4,[instance: <*>] Deleting instance files <*>
52,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:18.451,2931,INFO,nova.virt.libvirt.driver,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Deletion of /var/lib/nova/instances/b9000564-fe1a-409b-b8cc-1e88b294cd1d_del complete,E5,[instance: <*>] Deletion of <*> complete
53,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:18.571,2931,INFO,nova.compute.manager,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 1.03 seconds to destroy the instance on the hypervisor.,E14,[instance: <*>] Took <*>.<*> seconds to destroy the instance on the hypervisor.
54,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:18.994,25746,INFO,nova.osapi_compute.wsgi.server,req-1dd5c6bd-1bda-4e6d-b896-80dc15ab8c56 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1874 time: 0.2161739",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
55,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:19.050,2931,INFO,nova.compute.manager,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 0.48 seconds to deallocate network for instance.,E13,[instance: <*>] Took <*>.<*> seconds to deallocate network for instance.
56,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:20.106,25746,INFO,nova.osapi_compute.wsgi.server,req-750a3ab2-0fba-499a-bad0-f8584e777993 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 211 time: 0.1072969",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
57,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:20.345,2931,WARNING,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Unknown base file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,E42,Unknown base file: <*>
58,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:20.346,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Removable base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,E36,Removable base files: <*>
59,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:20.349,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Removing base or swap file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,E37,Removing base or swap file: <*>
60,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:21.067,25746,INFO,nova.api.openstack.wsgi,req-0b851395-2895-44b9-8265-a27d0bb52910 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,HTTP exception thrown: No instances found for any event,E33,HTTP exception thrown: No instances found for any event
61,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:21.069,25746,INFO,nova.osapi_compute.wsgi.server,req-0b851395-2895-44b9-8265-a27d0bb52910 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,"10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" status: 404 len: 296 time: 0.0793190",E26,"<*> ""POST <*>"" status: <*> len: <*> time: <*>.<*>"
62,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:30.788,25746,INFO,nova.osapi_compute.wsgi.server,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""POST /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers HTTP/1.1"" status: 202 len: 733 time: 0.6686139",E26,"<*> ""POST <*>"" status: <*> len: <*> time: <*>.<*>"
63,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:30.979,25746,INFO,nova.osapi_compute.wsgi.server,req-97738e9d-8df6-4948-89f0-afcd17e1f899 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1583 time: 0.1901591",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
64,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:31.092,2931,INFO,nova.compute.claims,req-6a763803-4838-49c7-814e-eaefbaddee9d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",E1,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU"
