LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate
11,Jul,1,09:12:20,authorMacBook-Pro,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,E58,<*>::setAwdlAutoMode Resuming AWDL
12,Jul,1,09:12:21,calvisitor-10-105-160-95,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,E50,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
13,Jul,1,09:18:16,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",E140,"ARPT: <*>.<*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs"
14,Jul,1,09:19:03,calvisitor-10-105-160-95,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,E120,AppleCamIn::systemWakeCall - messageType = <*>
15,Jul,1,09:19:03,authorMacBook-Pro,configd,53,,"setting hostname to ""authorMacBook-Pro.local""",E311,"setting hostname to ""<*>"""
16,Jul,1,09:19:13,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
17,Jul,1,09:21:57,authorMacBook-Pro,corecaptured,31174,,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,E175,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>
18,Jul,1,09:21:58,calvisitor-10-105-160-95,com.apple.WebKit.WebContent,25654,,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,E13,[<*>:<*>:<*>.<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.
19,Jul,1,09:22:02,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
20,Jul,1,09:22:25,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,E58,<*>::setAwdlAutoMode Resuming AWDL
21,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,E109,AirPort: Link Down on awdl0. Reason <*> (Unspecified).
22,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,E252,IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
23,Jul,1,09:24:13,calvisitor-10-105-160-95,kernel,0,,"PM response took 2010 ms (54, powerd)",E288,"PM response took <*> ms (<*>, powerd)"
24,Jul,1,09:25:21,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438666 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
25,Jul,1,09:25:45,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64",E143,"ARPT: <*>.<*>: wl0: Roamed or switched channel, reason #<*>, bssid <*>:<*>:<*><*>:<*>, last RSSI <*>"
26,Jul,1,09:25:59,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621145.554555: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",E135,"ARPT: <*>.<*>: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>,"
27,Jul,1,09:26:41,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621146.080894: wl0: wl_update_tcpkeep_seq: Original Seq: 3014995849, Ack: 2590995288, Win size: 4096",E149,"ARPT: <*>.<*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>"
28,Jul,1,09:26:43,calvisitor-10-105-160-95,networkd,195,,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,E276,nw_<*>_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>
29,Jul,1,09:26:47,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2165 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
30,Jul,1,09:27:01,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 13090 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
31,Jul,1,09:27:06,calvisitor-10-105-160-95,kernel,0,,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",E61,"<*>::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)"
32,Jul,1,09:28:41,authorMacBook-Pro,netbiosd,31198,,"network_reachability_changed : network is not reachable, netbiosd is shutting down",E272,"network_reachability_changed : network is not reachable, netbiosd is shutting down"
33,Jul,1,09:28:41,authorMacBook-Pro,corecaptured,31206,,CCFile::captureLogRun() Exiting CCFile::captureLogRun,E173,CCFile::captureLogRun() Exiting CCFile::captureLogRun
34,Jul,1,09:28:50,calvisitor-10-105-160-95,com.apple.CDScheduler,258,,Thermal pressure state: 1 Memory pressure state: 0,E323,Thermal pressure state: <*> Memory pressure state: <*>
35,Jul,1,09:28:53,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2039 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
36,Jul,1,09:29:02,calvisitor-10-105-160-95,sandboxd,129,[31211],com.apple.Addres(31211) deny network-outbound /private/var/run/mDNSResponder,E52,<*>(<*>) deny network-outbound /private/var/run/mDNSResponder
37,Jul,1,09:29:14,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,E58,<*>::setAwdlAutoMode Resuming AWDL
38,Jul,1,09:29:25,calvisitor-10-105-160-95,kernel,0,,ARPT: 621241.634070: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,E142,ARPT: <*>.<*>: wl0: MDNS: IPV6 Addr: <*>
39,Jul,1,09:31:48,authorMacBook-Pro,kernel,0,,AirPort: Link Up on en0,E112,AirPort: Link Up on en0
40,Jul,1,09:31:53,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438274 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
41,Jul,1,09:32:03,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1849 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
42,Jul,1,09:32:13,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31229) deny(1) network-outbound /private/var/run/mDNSResponder,E300,Sandbox: <*>(<*>) deny(<*>) network-outbound /private/var/run/mDNSResponder
43,Jul,1,09:32:28,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),E260,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>)
44,Jul,1,09:33:13,calvisitor-10-105-160-95,kernel,0,,ARPT: 621342.242614: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],E125,ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[enable]
45,Jul,1,09:33:13,calvisitor-10-105-160-95,kernel,0,,AirPort: Link Up on awdl0,E111,AirPort: Link Up on awdl0
46,Jul,1,09:33:13,authorMacBook-Pro,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,E120,AppleCamIn::systemWakeCall - messageType = <*>
47,Jul,1,09:33:58,calvisitor-10-105-160-95,kernel,0,,ARPT: 621389.379319: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,E142,ARPT: <*>.<*>: wl0: MDNS: IPV6 Addr: <*>
48,Jul,1,09:34:42,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltGenericHAL::earlyWake - complete - took 0 milliseconds,E122,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds
49,Jul,1,09:34:52,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438095 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
50,Jul,1,09:35:27,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface en0 (2607:F140:6000:0008:C6B3:01FF:FECD:467F),E261,mDNS_DeregisterInterface: Frequent transitions for interface en0 (<*>)
51,Jul,1,09:36:19,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 7,E55,<*>::<*> - retries = <*>
52,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621490.858770: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2119064372, Ack 3325040593, Win size 278",E150,"ARPT: <*>.<*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>"
53,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,ARPT: 621490.890645: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],E128,ARPT: <*>.<*>: AirPort_<*>::syncPowerState: WWEN[enabled]
54,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,E252,IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
55,Jul,1,09:39:57,authorMacBook-Pro,kernel,0,,ARPT: 621492.770239: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],E124,ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[disable]
56,Jul,1,09:41:34,calvisitor-10-105-160-95,kernel,0,,en0::IO80211Interface::postMessage bssid changed,E56,<*>::<*>::postMessage bssid changed
57,Jul,1,09:41:34,authorMacBook-Pro,kernel,0,,ARPT: 621542.378462: ARPT: Wake Reason: Wake on Scan offload,E131,ARPT: <*>.<*>: ARPT: Wake Reason: Wake on Scan offload
58,Jul,1,09:41:34,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,E50,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
59,Jul,1,09:41:44,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1268 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
60,Jul,1,09:41:44,calvisitor-10-105-160-95,com.apple.cts,43,,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 12119 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
61,Jul,1,09:41:54,calvisitor-10-105-160-95,com.apple.CDScheduler,258,,Thermal pressure state: 0 Memory pressure state: 0,E323,Thermal pressure state: <*> Memory pressure state: <*>
62,Jul,1,09:41:54,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 437673 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
63,Jul,1,09:42:16,calvisitor-10-105-160-95,com.apple.cts,43,,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 12087 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
64,Jul,1,09:42:23,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,E54,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>
65,Jul,1,09:42:54,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,E58,<*>::setAwdlAutoMode Resuming AWDL
66,Jul,1,09:43:22,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_RegisterInterface: Frequent transitions for interface en0 (FE80:0000:0000:0000:C6B3:01FF:FECD:467F),E263,mDNS_RegisterInterface: Frequent transitions for interface en0 (<*>)
67,Jul,1,09:44:23,authorMacBook-Pro,kernel,0,,AppleCamIn::wakeEventHandlerThread,E121,AppleCamIn::wakeEventHandlerThread
68,Jul,1,09:44:26,authorMacBook-Pro,kernel,0,,AirPort: Link Up on en0,E112,AirPort: Link Up on en0
69,Jul,1,09:44:32,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,Thermal pressure state: 1 Memory pressure state: 0,E323,Thermal pressure state: <*> Memory pressure state: <*>
70,Jul,1,09:45:08,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621686.164365: wl0: setup_keepalive: Local port: 62614, Remote port: 443",E146,"ARPT: <*>.<*>: wl0: setup_keepalive: Local port: <*>, Remote port: <*>"
71,Jul,1,09:45:46,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,E50,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
72,Jul,1,09:45:52,calvisitor-10-105-160-95,networkd,195,,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,E276,nw_<*>_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>
73,Jul,1,09:59:26,calvisitor-10-105-160-95,kernel,0,,ARPT: 621738.114066: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],E125,ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[enable]
74,Jul,1,10:08:20,calvisitor-10-105-160-95,Dock,307,,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) when=2017-07-01 17:08:20 +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),E48,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=<*> (null)/(null) opts=(null) when=<*>
75,Jul,1,10:08:20,calvisitor-10-105-160-95,kernel,0,,en0: channel changed to 1,E208,en0: channel changed to <*>
76,Jul,1,10:08:20,authorMacBook-Pro,kernel,0,,ARPT: 621799.252673: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,E130,ARPT: <*>.<*>: AQM agg results <*> len hi/lo: <*> <*> BAbitmap(<*>-<*>) <*>
77,Jul,1,10:08:21,authorMacBook-Pro,corecaptured,31313,,"CCFile::captureLog Received Capture notice id: 1498928900.759059, reason = AuthFail:sts:5_rsn:0",E171,"CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<NUM>_rsn:<NUM>"
78,Jul,1,10:08:29,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 10602 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
79,Jul,1,10:08:49,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,E59,<*>::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED
80,Jul,1,10:08:55,calvisitor-10-105-160-95,AddressBookSourceSync,31318,,Unrecognized attribute value: t:AbchPersonItemType,E328,Unrecognized attribute value: t:AbchPersonItemType
81,Jul,1,10:09:58,calvisitor-10-105-160-95,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,E120,AppleCamIn::systemWakeCall - messageType = <*>
82,Jul,1,10:10:24,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31328) deny(1) network-outbound /private/var/run/mDNSResponder,E300,Sandbox: <*>(<*>) deny(<*>) network-outbound /private/var/run/mDNSResponder
83,Jul,1,10:10:27,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31328) deny(1) network-outbound /private/var/run/mDNSResponder,E300,Sandbox: <*>(<*>) deny(<*>) network-outbound /private/var/run/mDNSResponder
84,Jul,1,10:13:39,calvisitor-10-105-160-95,secd,276,,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",E313,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}"
85,Jul,1,10:13:43,calvisitor-10-105-160-95,SpotlightNetHelper,352,,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",E183,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data"
86,Jul,1,10:13:57,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31346) deny(1) network-outbound /private/var/run/mDNSResponder,E300,Sandbox: <*>(<*>) deny(<*>) network-outbound /private/var/run/mDNSResponder
87,Jul,1,10:38:53,calvisitor-10-105-160-95,sandboxd,129,[31376],com.apple.Addres(31376) deny network-outbound /private/var/run/mDNSResponder,E52,<*>(<*>) deny network-outbound /private/var/run/mDNSResponder
88,Jul,1,10:46:47,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 12 unplug = 0,E252,IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
89,Jul,1,10:46:47,calvisitor-10-105-160-95,sharingd,30299,,10:46:47.425 : BTLE scanner Powered On,E64,<*>:<*>:<*>.<*> : BTLE scanner Powered On
90,Jul,1,10:46:48,calvisitor-10-105-160-95,QQ,10018,,button report: 0x8002be0,E161,button report: <*>
91,Jul,1,10:47:08,calvisitor-10-105-160-95,sandboxd,129,[31382],com.apple.Addres(31382) deny network-outbound /private/var/run/mDNSResponder,E52,<*>(<*>) deny network-outbound /private/var/run/mDNSResponder
92,Jul,1,11:20:51,calvisitor-10-105-160-95,sharingd,30299,,11:20:51.293 : BTLE discovered device with hash <01faa200 00000000 0000>,E62,<*>:<*>:<*>.<*> : BTLE discovered device with hash <<*> <*> <*>>
93,Jul,1,11:24:45,calvisitor-10-105-160-95,secd,276,,"securityd_xpc_dictionary_handler cloudd[326] copy_matching Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",E304,"securityd_xpc_dictionary_handler cloudd[<*>] copy_matching Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}"
94,Jul,1,11:29:32,calvisitor-10-105-160-95,locationd,82,,Location icon should now be in state 'Inactive',E259,Location icon should now be in state 'Inactive'
95,Jul,1,11:38:18,calvisitor-10-105-160-95,kernel,0,,"ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10",E144,"ARPT: <*>.<*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>"
96,Jul,1,11:38:18,calvisitor-10-105-160-95,kernel,0,,ARPT: 626126.086246: wl0: MDNS: IPV4 Addr: 10.105.160.95,E141,ARPT: <*>.<*>: wl0: MDNS: IPV4 Addr: <*>
97,Jul,1,11:39:47,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 12 unplug = 0,E252,IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
98,Jul,1,11:39:47,authorMacBook-Pro,kernel,0,,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,E59,<*>::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED
99,Jul,1,11:39:48,authorMacBook-Pro,kernel,0,,en0::IO80211Interface::postMessage bssid changed,E56,<*>::<*>::postMessage bssid changed
100,Jul,1,11:39:48,calvisitor-10-105-160-95,networkd,195,,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000,E49,__<*>-[NETClientConnection <*>]_block_invoke CI46 - Hit by torpedo! <*>.<*> tc<*> <*>:<*>
