LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
11,Jun,15,02:04:59,combo,sshd(pam_unix),20896.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root
12,Jun,15,02:04:59,combo,sshd(pam_unix),20897.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root
13,Jun,15,02:04:59,combo,sshd(pam_unix),20898.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root
14,Jun,15,04:06:18,combo,su(pam_unix),21416.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>)
15,Jun,15,04:06:19,combo,su(pam_unix),21416.0,session closed for user cyrus,E101,session closed for user <*>
16,Jun,15,04:06:20,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1]
17,Jun,15,04:12:42,combo,su(pam_unix),22644.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
18,Jun,15,04:12:43,combo,su(pam_unix),22644.0,session closed for user news,E101,session closed for user <*>
19,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,check pass; user unknown,E27,check pass; user unknown
20,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
21,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,check pass; user unknown,E27,check pass; user unknown
22,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
23,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,check pass; user unknown,E27,check pass; user unknown
24,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
25,Jun,15,12:12:34,combo,sshd(pam_unix),23399.0,check pass; user unknown,E27,check pass; user unknown
26,Jun,15,12:12:34,combo,sshd(pam_unix),23399.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
27,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,check pass; user unknown,E27,check pass; user unknown
28,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
29,Jun,15,12:12:34,combo,sshd(pam_unix),23396.0,check pass; user unknown,E27,check pass; user unknown
30,Jun,15,12:12:34,combo,sshd(pam_unix),23394.0,check pass; user unknown,E27,check pass; user unknown
31,Jun,15,12:12:34,combo,sshd(pam_unix),23407.0,check pass; user unknown,E27,check pass; user unknown
32,Jun,15,12:12:34,combo,sshd(pam_unix),23394.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
33,Jun,15,12:12:34,combo,sshd(pam_unix),23403.0,check pass; user unknown,E27,check pass; user unknown
34,Jun,15,12:12:34,combo,sshd(pam_unix),23396.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
35,Jun,15,12:12:34,combo,sshd(pam_unix),23407.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
36,Jun,15,12:12:34,combo,sshd(pam_unix),23403.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
37,Jun,15,12:12:34,combo,sshd(pam_unix),23412.0,check pass; user unknown,E27,check pass; user unknown
38,Jun,15,12:12:34,combo,sshd(pam_unix),23412.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
39,Jun,15,12:13:19,combo,sshd(pam_unix),23414.0,check pass; user unknown,E27,check pass; user unknown
40,Jun,15,12:13:19,combo,sshd(pam_unix),23414.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
41,Jun,15,12:13:20,combo,sshd(pam_unix),23416.0,check pass; user unknown,E27,check pass; user unknown
42,Jun,15,12:13:20,combo,sshd(pam_unix),23416.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
43,Jun,15,14:53:32,combo,sshd(pam_unix),23661.0,check pass; user unknown,E27,check pass; user unknown
44,Jun,15,14:53:32,combo,sshd(pam_unix),23661.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
45,Jun,15,14:53:32,combo,sshd(pam_unix),23663.0,check pass; user unknown,E27,check pass; user unknown
46,Jun,15,14:53:32,combo,sshd(pam_unix),23663.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
47,Jun,15,14:53:32,combo,sshd(pam_unix),23664.0,check pass; user unknown,E27,check pass; user unknown
48,Jun,15,14:53:32,combo,sshd(pam_unix),23664.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
49,Jun,15,14:53:33,combo,sshd(pam_unix),23665.0,check pass; user unknown,E27,check pass; user unknown
50,Jun,15,14:53:33,combo,sshd(pam_unix),23665.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
51,Jun,15,14:53:34,combo,sshd(pam_unix),23669.0,check pass; user unknown,E27,check pass; user unknown
52,Jun,15,14:53:34,combo,sshd(pam_unix),23669.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
53,Jun,15,14:53:35,combo,sshd(pam_unix),23671.0,check pass; user unknown,E27,check pass; user unknown
54,Jun,15,14:53:35,combo,sshd(pam_unix),23671.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
55,Jun,15,14:53:35,combo,sshd(pam_unix),23673.0,check pass; user unknown,E27,check pass; user unknown
56,Jun,15,14:53:35,combo,sshd(pam_unix),23673.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
57,Jun,15,14:53:35,combo,sshd(pam_unix),23674.0,check pass; user unknown,E27,check pass; user unknown
58,Jun,15,14:53:35,combo,sshd(pam_unix),23674.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
59,Jun,15,14:53:36,combo,sshd(pam_unix),23678.0,check pass; user unknown,E27,check pass; user unknown
60,Jun,15,14:53:36,combo,sshd(pam_unix),23678.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
61,Jun,15,14:53:36,combo,sshd(pam_unix),23677.0,check pass; user unknown,E27,check pass; user unknown
62,Jun,15,14:53:36,combo,sshd(pam_unix),23677.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
63,Jun,15,20:05:31,combo,sshd(pam_unix),24138.0,check pass; user unknown,E27,check pass; user unknown
64,Jun,15,20:05:31,combo,sshd(pam_unix),24138.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
65,Jun,15,20:05:31,combo,sshd(pam_unix),24137.0,check pass; user unknown,E27,check pass; user unknown
66,Jun,15,20:05:31,combo,sshd(pam_unix),24137.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
67,Jun,15,20:05:31,combo,sshd(pam_unix),24141.0,check pass; user unknown,E27,check pass; user unknown
68,Jun,15,20:05:31,combo,sshd(pam_unix),24141.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
69,Jun,15,20:05:31,combo,sshd(pam_unix),24140.0,check pass; user unknown,E27,check pass; user unknown
70,Jun,15,20:05:31,combo,sshd(pam_unix),24140.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
71,Jun,15,20:05:31,combo,sshd(pam_unix),24139.0,check pass; user unknown,E27,check pass; user unknown
72,Jun,15,20:05:31,combo,sshd(pam_unix),24139.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
73,Jun,16,04:10:22,combo,su(pam_unix),25178.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>)
74,Jun,16,04:10:23,combo,su(pam_unix),25178.0,session closed for user cyrus,E101,session closed for user <*>
75,Jun,16,04:10:24,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1]
76,Jun,16,04:16:17,combo,su(pam_unix),25548.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
77,Jun,16,04:16:18,combo,su(pam_unix),25548.0,session closed for user news,E101,session closed for user <*>
78,Jun,17,04:03:33,combo,su(pam_unix),27953.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>)
79,Jun,17,04:03:34,combo,su(pam_unix),27953.0,session closed for user cyrus,E101,session closed for user <*>
80,Jun,17,04:03:36,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1]
81,Jun,17,04:09:43,combo,su(pam_unix),29190.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
82,Jun,17,04:09:45,combo,su(pam_unix),29190.0,session closed for user news,E101,session closed for user <*>
83,Jun,17,07:07:00,combo,ftpd,29504.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
84,Jun,17,07:07:00,combo,ftpd,29508.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
85,Jun,17,07:07:00,combo,ftpd,29507.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
86,Jun,17,07:07:00,combo,ftpd,29505.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
87,Jun,17,07:07:00,combo,ftpd,29506.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
88,Jun,17,07:07:00,combo,ftpd,29509.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
89,Jun,17,07:07:02,combo,ftpd,29510.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:02 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
90,Jun,17,07:07:04,combo,ftpd,29511.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:04 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
91,Jun,17,19:43:13,combo,sshd(pam_unix),30565.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest,E17,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=guest
92,Jun,17,20:29:26,combo,sshd(pam_unix),30631.0,session opened for user test by (uid=509),E102,session opened for user <*> by (uid=<*>)
93,Jun,17,20:34:57,combo,sshd(pam_unix),30631.0,session closed for user test,E101,session closed for user <*>
94,Jun,17,20:55:06,combo,ftpd,30755.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
95,Jun,17,20:55:06,combo,ftpd,30754.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
96,Jun,17,20:55:06,combo,ftpd,30753.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
97,Jun,17,20:55:06,combo,ftpd,30756.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
98,Jun,17,20:55:06,combo,ftpd,30757.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
99,Jun,17,20:55:07,combo,ftpd,30758.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
100,Jun,17,20:55:07,combo,ftpd,30759.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>
